book_name,book_price
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),£46.01
The Barefoot Contessa Cookbook,£59.92
Better Homes and Gardens New Cook Book,£39.61
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,£59.45
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79
In Cold Blood,£49.98
A Hero's Curse (The Unseen Chronicles #1),£50.49
"Girl, Interrupted",£42.14
A Shard of Ice (The Black Symphony Saga #1),£56.63
John Adams,£57.43
Good in Bed (Cannie Shapiro #1),£37.05
The Joy of Cooking,£43.27
The Golden Compass (His Dark Materials #1),£18.77
I'll Give You the Sun,£56.48
John Vassos: Industrial Design for Modern Life,£20.22
Left Behind (Left Behind #1),£40.72
The Silent Wife,£12.34
The Bette Davis Club,£30.66
Kitchens of the Great Midwest,£57.20
Bright Lines,£39.07
The Darkest Corners,£11.33
Tell Me Three Things,£41.81
Lola and the Boy Next Door (Anna and the French Kiss #2),£23.63
Kill the Boy Band,£15.52
Isla and the Happily Ever After (Anna and the French Kiss #3),£48.13
An Abundance of Katherines,£10.00
My Life Next Door (My Life Next Door ),£36.39
Between the World and Me,£56.91
The Glass Castle,£16.24
The Drowning Girls,£35.67
Being Mortal: Medicine and What Matters in the End,£55.06
The God Delusion,£46.85
Pride and Prejudice,£19.27
A Flight of Arrows (The Pathfinders #2),£55.53
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,£34.72
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24
Wildlife of New York: A Five-Borough Coloring Book,£22.14
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28
Death by Leisure: A Cautionary Tale,£37.51
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65
Tell the Wolves I'm Home,£50.96
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",£47.31
Nightstruck: A Novel,£50.35
Where She Went (If I Stay #2),£41.73
Two Summers,£14.64
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06
Ender's Game (The Ender Quintet #1),£43.64
When I'm Gone,£51.96
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69
Future Shock (Future Shock #1),£55.65
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,£52.86
The Kite Runner,£41.82
The Girl on the Train,£55.02
Her Backup Boyfriend (The Sorensen Family #1),£33.97
The Emerald Mystery,£23.15
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,£20.90
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,£33.17
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87
The Good Girl,£49.03
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39
The Great Gatsby,£36.05
How to Be Miserable: 40 Strategies You Already Use,£46.03
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17
Sleeping Giants (Themis Files #1),£48.74
Meternity,£43.58
Glory over Everything: Beyond The Kitchen House,£45.84
Arena,£21.36
Some Women,£13.73
"Love, Lies and Spies",£20.55
Foundation (Foundation (Publication Order) #1),£32.42
Shopaholic Ties the Knot (Shopaholic #3),£48.39
A Paris Apartment,£39.01
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92
The Haters,£27.89
The Art of Not Breathing,£40.83
Gratitude,£26.66
King's Folly (The Kinsman Chronicles #1),£39.61
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51
Disrupted: My Misadventure in the Start-Up Bubble,£15.28
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88
Brave Enough,£51.32
Life of Pi,£13.22
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35
Like Never Before (Walker Family #2),£28.77
The Complete Maus (Maus #1-2),£10.64
My Kind of Crazy,£40.36
Camp Midnight,£17.08
Blink: The Power of Thinking Without Thinking,£21.74
Don't Get Caught,£55.35
The Secret Garden,£15.08
Masks and Shadows,£56.40
My Paris Kitchen: Recipes and Stories,£33.37
Letter to a Christian Nation,£22.20
Let's Pretend This Never Happened: A Mostly True Memoir,£45.11
Cinder (The Lunar Chronicles #1),£26.09
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38
Golden (Heart of Dread #3),£42.21
Into the Wild,£56.70
Boy Meets Boy,£21.12
Obsidian (Lux #1),£14.86
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",£57.83
New Moon (Twilight #2),£12.86
Annie on My Mind,£36.83
Girl Online On Tour (Girl Online #2),£53.47
The Fellowship of the Ring (The Lord of the Rings #1),£10.27
The Hobbit (Middle-Earth Universe),£17.80
The Makings of a Fatherless Child,£31.58
The Perks of Being a Wallflower,£55.02
The Sound Of Love,£57.84
On a Midnight Clear,£14.07
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48
Needful Things,£47.51
Dress Your Family in Corduroy and Denim,£43.68
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35
Two Boys Kissing,£32.74
"The Land of 10,000 Madonnas",£29.64
The New Guy (and Other Senior Year Distractions),£44.92
Scarlet (The Lunar Chronicles #2),£14.57
Legend (Legend #1),£43.69
Lady Renegades (Rebel Belle #3),£53.04
Spilled Milk: Based on a True Story,£49.51
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",£41.67
Stiff: The Curious Lives of Human Cadavers,£36.74
Outliers: The Story of Success,£14.16
Notes from a Small Island (Notes From a Small Island #1),£40.17
Night (The Night Trilogy #1),£13.51
Misery,£34.79
A People's History of the United States,£40.79
Toddlers Are A**holes: It's Not Your Fault,£25.55
Red Dragon (Hannibal Lecter #1),£23.37
Musicophilia: Tales of Music and the Brain,£46.58
Dracula the Un-Dead,£35.63
Night Shift (Night Shift #1-20),£12.75
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,£30.60
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38
Lord of the Flies,£24.89
Sister Sable (The Mad Queen #1),£13.33
The Iliad,£16.16
The Communist Manifesto,£14.76
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",£53.51
Shadow Rites (Jane Yellowrock #10),£21.72
Origins (Alphas 0.5),£28.99
Myriad (Prentor #1),£58.75
The Light of the Fireflies,£54.43
One Second (Seven #7),£52.94
It,£25.01
A Brush of Wings (Angels Walking #3),£55.51
The Name of God is Mercy,£37.25
When You Are Engulfed in Flames,£30.89
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44
The Fault in Our Stars,£47.22
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,£53.68
'Salem's Lot,£49.56
Rook,£37.86
Naked,£31.69
Manuscript Found in Accra,£34.98
Fire Bound (Sea Haven/Sisters of the Heart #5),£21.28
The Sense of an Ending,£31.38
Cosmos,£36.17
The Republic,£33.78
#GIRLBOSS,£50.96
The Odyssey,£29.64
Vampire Girl (Vampire Girl #1),£53.82
The Silent Twin (Detective Jennifer Knight #3),£36.25
Patience,£10.16
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20
The Stand,£57.86
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50
The Girl with All the Gifts,£49.47
Holidays on Ice,£51.07
"Pop Gun War, Volume 1: Gift",£18.97
Remember Me?,£11.48
The 5th Wave (The 5th Wave #1),£11.83
Shiver (The Wolves of Mercy Falls #1),£16.23
The Dream Thieves (The Raven Cycle #2),£34.50
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61
Princess Between Worlds (Wide-Awake Princess #5),£13.34
The Invention of Wings,£37.34
The Catcher in the Rye,£24.55
The Case for Christ (Cases for Christianity),£47.84
Seven Days in the Art World,£52.33
The Blind Side: Evolution of a Game,£53.71
Sarah's Key,£46.29
Rogue Lawyer (Rogue Lawyer #1),£50.11
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48
The Nanny Diaries (Nanny #1),£52.53
World Without End (The Pillars of the Earth #2),£32.97
Three Wishes (River of Time: California #1),£44.18
The Devil Wears Prada (The Devil Wears Prada #1),£44.29
The Passion of Dolssa,£28.32
The Last Girl (The Dominion Trilogy #1),£36.26
Something Borrowed (Darcy & Rachel #1),£48.96
Girl With a Pearl Earring,£26.77
Gone with the Wind,£32.49
"Blue Lily, Lily Blue (The Raven Cycle #3)",£34.13
Evicted: Poverty and Profit in the American City,£42.27
Drama,£38.70
Fool Me Once,£16.96
Harry Potter and the Deathly Hallows (Harry Potter #7),£23.32
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),£36.55
If I Stay (If I Stay #1),£38.13
The Rest Is Noise: Listening to the Twentieth Century,£34.77
The Purpose Driven Life: What on Earth Am I Here for?,£37.19
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13
Candide,£58.63
The Complete Poems,£41.32
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36
The Art Forger,£40.76
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64
Counted With the Stars (Out from Egypt #1),£17.97
Luis Paints the World,£53.95
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13
The Hunger Games (The Hunger Games #1),£29.85
Kindle Paperwhite User's Guide,£34.00
H is for Hawk,£57.42
The Shining (The Shining #1),£27.88
Travels with Charley: In Search of America,£57.82
Vogue Colors A to Z: A Fashion Coloring Book,£52.35
The Tipping Point: How Little Things Can Make a Big Difference,£10.02
The Tumor,£41.56
The End of the Jesus Era (An Investigation #1),£14.40
"Eat, Pray, Love",£51.32
A Clash of Kings (A Song of Ice and Fire #2),£10.79
A Game of Thrones (A Song of Ice and Fire #1),£46.42
Alight (The Generations Trilogy #2),£58.59
Zealot: The Life and Times of Jesus of Nazareth,£24.70
If I Run (If I Run #1),£49.97
Nap-a-Roo,£25.08
The Whale,£35.96
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",£52.87
Black Flags: The Rise of ISIS,£40.87
Are We Smart Enough to Know How Smart Animals Are?,£56.58
"The Suffragettes (Little Black Classics, #96)",£11.89
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48
Harry Potter and the Sorcerer's Stone (Harry Potter #1),£13.90
Mockingjay (The Hunger Games #3),£20.44
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89
Shoe Dog: A Memoir by the Creator of NIKE,£23.99
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96
Raymie Nightingale,£34.41
Made to Stick: Why Some Ideas Survive and Others Die,£38.85
Playing from the Heart,£32.38
Poems That Make Grown Women Cry,£14.19
The Murder That Never Was (Forensic Instincts #5),£54.11
The Nameless City (The Nameless City #1),£38.16
"Friday Night Lights: A Town, a Team, and a Dream",£51.22
The Guernsey Literary and Potato Peel Pie Society,£49.53
Bridget Jones's Diary (Bridget Jones #1),£29.82
Sugar Rush (Offensive Line #2),£24.42
Settling the Score (The Summer Games #1),£44.91
Icing (Aces Hockey #2),£40.44
The Mistake (Off-Campus #2),£43.29
Girl in the Blue Coat,£46.83
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85
The Hook Up (Game On #1),£36.29
Outlander (Outlander #1),£19.67
Shameless,£58.35
Off Sides (Off #1),£39.45
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43
Beowulf,£38.35
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41
See America: A Celebration of Our National Parks & Treasured Sites,£48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94
And Then There Were None,£35.01
"Where'd You Go, Bernadette",£18.13
Wild: From Lost to Found on the Pacific Crest Trail,£46.02
World War Z: An Oral History of the Zombie War,£21.80
Zero History (Blue Ant #3),£34.77
Confessions of a Shopaholic (Shopaholic #1),£48.94
The Origin of Species,£10.01
The Grand Design,£13.76
Under the Tuscan Sun,£37.33
You (You #1),£43.61
1491: New Revelations of the Americas Before Columbus,£21.80
The Lonely Ones,£43.59
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89
Born for This: How to Find the Work You Were Meant to Do,£21.59
The Death of Humanity: and the Case for Life,£58.11
The Guilty (Will Robie #4),£13.82
Brilliant Beacons: A History of the American Lighthouse,£11.45
The Day the Crayons Came Home (Crayons),£26.33
Out of Print: City Lights Spotlight No. 14,£53.64
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91
The 14th Colony (Cotton Malone #11),£39.24
Twilight (Twilight #1),£41.93
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48
The Stranger,£17.44
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97
Les Fleurs du Mal,£29.04
"Rich Dad, Poor Dad",£51.74
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21
Give It Back,£18.32
A Short History of Nearly Everything,£52.40
Howl and Other Poems,£40.45
Killing Floor (Jack Reacher #1),£31.49
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92
Kierkegaard: A Christian Missionary to Christians,£47.13
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52
Unicorn Tracks,£18.78
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18
Finders Keepers (Bill Hodges Trilogy #2),£53.53
Untitled Collection: Sabbath Poems 2014,£14.27
The Time Keeper,£27.88
The Lover's Dictionary,£58.09
The Paris Wife,£36.80
The Maze Runner (The Maze Runner #1),£20.93
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06
The Testament of Mary,£52.67
"We Love You, Charlie Freeman",£50.27
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83
The First Hostage (J.B. Collins #2),£25.85
Love Is a Mix Tape (Music #1),£18.03
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83
Without Borders (Wanderlove #1),£45.07
Take Me with You,£45.21
In the Country We Love: My Family Divided,£22.00
Please Kill Me: The Uncensored Oral History of Punk,£31.19
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35
Still Life with Bread Crumbs,£26.41
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05
Private Paris (Private #10),£47.61
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14
"Chronicles, Vol. 1",£52.60
Reasons to Stay Alive,£26.41
Slow States of Collapse: Poems,£57.31
The Demon-Haunted World: Science as a Candle in the Dark,£52.25
The Girl Who Played with Fire (Millennium Trilogy #2),£22.14
The Giver (The Giver Quartet #1),£12.30
The Goldfinch,£43.58
The Little Prince,£45.42
Neither Here nor There: Travels in Europe,£38.95
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83
Sense and Sensibility,£37.46
"1,000 Places to See Before You Die",£26.08
Seven Brief Lessons on Physics,£30.60
Of Mice and Men,£47.11
Emma,£32.93
God: The Most Unpleasant Character in All Fiction,£30.03
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15
The Travelers,£15.77
The Selfish Gene,£29.45
The Book of Mormon,£24.57
The Crossover,£38.77
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55
Shopaholic & Baby (Shopaholic #5),£46.45
The Autobiography of Malcolm X,£23.43
The Book Thief,£53.49
When We Collided,£31.77
Booked,£17.49
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62
Benjamin Franklin: An American Life,£48.19
Twenty Love Poems and a Song of Despair,£30.95
The Bhagavad Gita,£57.49
Someone Like You (The Harrisons #2),£52.79
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57
We Are All Completely Beside Ourselves,£24.04
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42
Life,£31.58
Critique of Pure Reason,£20.75
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91
My Name Is Lucy Barton,£41.56
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66
The Genius of Birds,£17.24
My Mrs. Brown,£24.48
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02
The Hiding Place,£55.91
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49
Forever Rockers (The Rocker #12),£28.80
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90
The Nicomachean Ethics,£36.34
America's War for the Greater Middle East: A Military History,£51.22
One for the Money (Stephanie Plum #1),£32.87
Orange Is the New Black,£24.61
Packing for Mars: The Curious Science of Life in the Void,£56.68
Quiet: The Power of Introverts in a World That Can't Stop Talking,£43.55
I Am Pilgrim (Pilgrim #1),£10.60
So You've Been Publicly Shamed,£12.23
Meditations,£25.89
The Guns of August,£14.54
Beyond Good and Evil,£43.38
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70
Morning Star (Red Rising #3),£29.40
Life After Life,£26.13
"Lean In: Women, Work, and the Will to Lead",£25.02
Gone Girl,£37.60
Is Everyone Hanging Out Without Me? (And Other Concerns),£20.11
Dark Places,£23.90
Fellside,£38.62
Eclipse (Twilight #3),£18.74
Dracula,£52.62
Dead Wake: The Last Crossing of the Lusitania,£39.24
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",£17.81
Breaking Dawn (Twilight #4),£35.28
Beautiful Creatures (Caster Chronicles #1),£21.55
A Visit from the Goon Squad,£14.08
The Zombie Room,£19.69
The Name of the Wind (The Kingkiller Chronicle #1),£50.59
Taking Shots (Assassins #1),£18.88
Shatter Me (Shatter Me #1),£42.40
Paradise Lost (Paradise #1),£24.96
On the Road (Duluoz Legend),£32.36
Jane Eyre,£38.43
Frankenstein,£38.00
book_name,book_price
A Light in the Attic,£51.77
Tipping the Velvet,£53.74
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
Soumission,£50.10
The Requiem Red,£22.65
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
Sharp Objects,£47.82
The Dirty Little Secrets of Getting Your Dream Job,£33.34
Sapiens: A Brief History of Humankind,£54.23
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
Shakespeare's Sonnets,£20.66
The Black Maria,£52.15
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
Set Me Free,£17.46
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
Rip it Up and Start Again,£35.02
Libertarianism for Beginners,£51.33
It's Only the Himalayas,£45.17
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
Olio,£23.88
In Her Wake,£12.84
How Music Works,£37.32
Birdsong: A Story in Pictures,£54.64
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
Aladdin and His Wonderful Lamp,£53.13
Chase Me (Paris Nights #2),£25.27
Black Dust,£34.53
The Four Agreements: A Practical Guide to Personal Freedom,£17.66
The Elephant Tree,£23.82
Wall and Piece,£44.18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
The Bear and the Piano,£36.89
Sophie's World,£15.94
Penny Maybe,£33.29
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
You can't bury them all: Poems,£33.63
"In a Dark, Dark Wood",£19.63
Behind Closed Doors,£52.22
Maude (1883-1993):She Grew Up with the country,£18.02
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70
Eligible (The Austen Project #4),£27.09
So You've Been Publicly Shamed,£12.23
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93
This Is Your Brain on Music: The Science of a Human Obsession,£38.40
Critique of Pure Reason,£20.75
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36
Catherine the Great: Portrait of a Woman,£58.55
Shtum,£55.84
Algorithms to Live By: The Computer Science of Human Decisions,£30.81
The Story of Hong Gildong,£43.19
The Little Prince,£45.42
God: The Most Unpleasant Character in All Fiction,£30.03
Leave This Song Behind: Teen Poetry at Its Best,£51.17
Sense and Sensibility,£37.46
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
Still Life with Bread Crumbs,£26.41
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67
Peak: Secrets from the New Science of Expertise,£16.28
You Are What You Love: The Spiritual Power of Habit,£21.87
The Book of Mormon,£24.57
The Great Railway Bazaar,£30.54
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03
A Summer In Europe,£44.34
Finders Keepers (Bill Hodges Trilogy #2),£53.53
A Distant Mirror: The Calamitous 14th Century,£14.58
The Time Keeper,£27.88
1491: New Revelations of the Americas Before Columbus,£21.80
The Testament of Mary,£52.67
The First Hostage (J.B. Collins #2),£25.85
The Past Never Ends,£56.50
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41
The Natural History of Us (The Fine Art of Pretending #2),£45.22
The Secret of Dreadwillow Carse,£56.13
The Torch Is Passed: A Harding Family Story,£19.09
Brilliant Beacons: A History of the American Lighthouse,£11.45
Thirst,£17.27
Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54
Zealot: The Life and Times of Jesus of Nazareth,£24.70
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74
The Regional Office Is Under Attack!,£51.36
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55
See America: A Celebration of Our National Parks & Treasured Sites,£48.87
House of Leaves,£54.89
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73
The Murder That Never Was (Forensic Instincts #5),£54.11
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28
Tuesday Nights in 1980,£21.04
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64
The Vacationers,£42.15
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96
"Friday Night Lights: A Town, a Team, and a Dream",£51.22
The Book of Basketball: The NBA According to The Sports Guy,£44.84
The Mistake (Off-Campus #2),£43.29
Sugar Rush (Offensive Line #2),£24.42
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85
Settling the Score (The Summer Games #1),£44.91
Catching Jordan (Hundred Oaks),£50.83
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14
The Girl with All the Gifts,£49.47
The Epidemic (The Program 0.6),£14.44
Luis Paints the World,£53.95
Stars Above (The Lunar Chronicles #4.5),£48.05
Nap-a-Roo,£25.08
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04
Security,£39.25
Soul Reader,£39.58
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24
The Art Forger,£40.76
City of Glass (The Mortal Instruments #3),£56.02
Searching for Meaning in Gailana,£38.73
Ready Player One,£19.07
The Star-Touched Queen,£32.30
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26
A Shard of Ice (The Black Symphony Saga #1),£56.63
Dune (Dune #1),£54.86
King's Folly (The Kinsman Chronicles #1),£39.61
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08
Night Shift (Night Shift #1-20),£12.75
Little Red,£13.47
Walt Disney's Alice in Wonderland,£12.96
Twenty Yawns,£22.08
Dress Your Family in Corduroy and Denim,£43.68
The Last Painting of Sara de Vos,£55.55
Rain Fish,£23.57
Once Was a Time,£18.28
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48
Toddlers Are A**holes: It's Not Your Fault,£25.55
The Guernsey Literary and Potato Peel Pie Society,£49.53
A People's History of the United States,£40.79
The Project,£10.65
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98
Soft Apocalypse,£26.12
The Star-Touched Queen,£46.02
Sleeping Giants (Themis Files #1),£48.74
The Hidden Oracle (The Trials of Apollo #1),£52.26
Arena,£21.36
The Bane Chronicles (The Bane Chronicles #1-11),£44.73
Pet Sematary,£10.56
Doctor Sleep (The Shining #2),£40.12
Red Dragon (Hannibal Lecter #1),£23.37
Dracula the Un-Dead,£35.63
Psycho: Sanitarium (Psycho #1.5),£36.97
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64
Foundation (Foundation (Publication Order) #1),£32.42
Island of Dragons (Unwanteds #7),£29.65
